Date,Open,High,Low,Close,ChangePct,AmplitudePct,Volume,Amount,TurnoverRate,TradeCount
2021-04-20,1963.966,1974.979,1955.27,1955.721,-0.44,1.0,1073466420.0,12554369600.0,0.0,871662.0
2021-04-21,1946.211,1959.729,1933.575,1948.802,-0.35,1.34,1050289660.0,12182961300.0,0.0,879898.0
2021-04-22,1950.815,1967.649,1950.632,1957.387,0.44,0.87,923242570.0,11726056600.0,0.0,793589.0
2021-04-23,1952.185,1952.442,1926.195,1932.161,-1.29,1.34,860502190.0,10179001800.0,0.0,770550.0
2021-04-26,1945.254,1949.737,1918.666,1919.71,-0.64,1.61,1182763040.0,13758633000.0,0.0,996432.0
2021-04-27,1916.665,1918.435,1876.719,1885.855,-1.76,2.17,948634190.0,10785544200.0,0.0,848560.0
2021-04-28,1885.791,1896.881,1874.827,1896.215,0.55,1.17,785996130.0,9089405700.0,0.0,667570.0
2021-04-29,1889.268,1905.834,1885.178,1890.588,-0.3,1.09,831646410.0,9726388700.0,0.0,736599.0
2021-04-30,1887.05,1887.359,1849.093,1856.561,-1.8,2.02,829889760.0,10982221900.0,0.0,778456.0
2021-05-06,1857.172,1877.182,1852.11,1873.871,0.93,1.35,770436670.0,10226641400.0,0.0,686146.0
2021-05-07,1877.306,1878.284,1858.821,1860.467,-0.72,1.04,783822890.0,9872691300.0,0.0,670189.0
2021-05-10,1858.526,1865.482,1852.027,1862.426,0.11,0.72,831432910.0,10352601300.0,0.0,718330.0
2021-05-11,1857.833,1886.748,1853.816,1886.748,1.31,1.77,837309560.0,10343603400.0,0.0,689164.0
2021-05-12,1879.436,1901.558,1868.445,1901.258,0.77,1.76,881561840.0,10582709300.0,0.0,699589.0
2021-05-13,1886.135,1914.544,1884.924,1895.499,-0.3,1.56,1049770020.0,12143956600.0,0.0,791319.0
2021-05-14,1893.427,1923.281,1893.427,1923.281,1.47,1.57,1003664970.0,11948105800.0,0.0,795571.0
2021-05-17,1929.789,1935.901,1908.937,1911.117,-0.63,1.4,1033363980.0,12403605200.0,0.0,863813.0
2021-05-18,1902.207,1931.72,1892.669,1927.732,0.87,2.04,997810050.0,12553119400.0,0.0,798916.0
2021-05-19,1927.372,1933.514,1921.285,1925.216,-0.13,0.63,1151908680.0,15081450000.0,0.0,894651.0
2021-05-20,1916.008,1923.045,1912.774,1914.489,-0.56,0.53,894245240.0,11899578300.0,0.0,769857.0
2021-05-21,1916.409,1920.588,1909.401,1911.865,-0.14,0.58,940314360.0,11840255100.0,0.0,763694.0
2021-05-24,1911.269,1940.2,1907.584,1940.2,1.48,1.71,1078988770.0,12815056100.0,0.0,818492.0
2021-05-25,1941.922,1962.851,1932.256,1962.049,1.13,1.58,1164103540.0,15094736000.0,0.0,954203.0
2021-05-26,1962.369,1978.561,1962.278,1967.63,0.28,0.83,1196852250.0,14832597000.0,0.0,956451.0
2021-05-27,1965.434,1996.35,1963.628,1989.387,1.11,1.66,1101102770.0,14560009000.0,0.0,919156.0
2021-05-28,1988.132,1990.907,1974.111,1981.702,-0.39,0.84,1146529270.0,14641082000.0,0.0,931817.0
2021-05-31,1985.961,2015.082,1985.664,2015.082,1.68,1.48,1134305530.0,16208801000.0,0.0,974104.0
2021-06-01,2013.03,2030.058,2005.365,2027.564,0.62,1.23,1172593270.0,15952884000.0,0.0,962371.0
2021-06-02,2021.962,2023.074,1982.259,1984.791,-2.11,2.01,1125371700.0,13826557000.0,0.0,955671.0
2021-06-03,1987.691,2008.939,1984.297,1984.593,-0.01,1.24,938419830.0,11519262300.0,0.0,787844.0
2021-06-04,1982.866,2001.696,1981.953,1996.17,0.58,0.99,935721590.0,11274447900.0,0.0,771754.0
2021-06-07,2006.169,2034.659,2006.005,2034.628,1.93,1.44,1123822950.0,14012653000.0,0.0,910674.0
2021-06-08,2034.373,2051.92,2027.203,2051.92,0.85,1.21,1312950790.0,16614582000.0,0.0,1037952.0
2021-06-09,2054.982,2071.759,2047.709,2056.425,0.22,1.17,1221865510.0,15397290000.0,0.0,976525.0
2021-06-10,2054.404,2101.122,2052.592,2099.799,2.11,2.36,1724375100.0,20649513000.0,0.0,1224339.0
2021-06-11,2103.348,2104.84,2075.961,2076.645,-1.1,1.38,1952976700.0,22883939000.0,0.0,1355898.0
2021-06-15,2072.685,2093.738,2069.106,2088.284,0.56,1.19,1817464600.0,21094807000.0,0.0,1333697.0
2021-06-16,2088.267,2120.151,2088.267,2103.652,0.74,1.53,2037757100.0,22984385000.0,0.0,1405138.0
2021-06-17,2114.924,2140.015,2094.819,2133.789,1.43,2.15,2260129500.0,26726781000.0,0.0,1622353.0
2021-06-18,2127.001,2158.291,2121.961,2153.466,0.92,1.7,2283575100.0,26429495000.0,0.0,1615951.0
2021-06-21,2143.763,2200.21,2141.185,2200.21,2.17,2.74,2184113900.0,26625969000.0,0.0,1593874.0
2021-06-22,2201.293,2201.293,2169.796,2185.766,-0.66,1.43,2056224100.0,23547383000.0,0.0,1473331.0
